id,Title,Artist,Album,Duration,Media Type
1,I Need You Tonight,Bonnie Raitt,Dig In Deep,00:03:19,track
2,The Ones We Couldn't Be,Bonnie Raitt,Dig In Deep,00:04:14,track
3,Undone,Bonnie Raitt,Dig In Deep,00:04:12,track
4,Funnel Of Love,Cyndi Lauper,Detour,00:03:15,track
5,I Fall To Pieces,Cyndi Lauper,Detour,00:03:00,track
6,The End Of The World,Cyndi Lauper,Detour,00:03:12,track
7,The Open Chord,Elton John,Wonderful Crazy Night (Deluxe),00:04:04,track
8,I Will Be There,Eric Clapton,I Still Do,00:04:37,track
9,Drive,Lera Lynn,Resistor,00:04:11,track
10,Scratch + Hiss,Lera Lynn,Resistor,00:04:56,track
11,Don't Say A Thing,Mick Harvey,Delirium Tremens,00:03:03,track
12,The Decadance,Mick Harvey,Delirium Tremens,00:05:33,track
13,The Man With The Cabbage Head,Mick Harvey,Delirium Tremens,00:02:46,track
14,Ghost Babe,Nekromantix,A Symphony Of Wolf Tones & Ghost Notes,00:03:26,track
15,NekroTopia,Nekromantix,A Symphony Of Wolf Tones & Ghost Notes,00:03:22,track
16,We of Me,Suzanne Vega,Unknown,00:02:52,track
17,Harper Lee,Suzanne Vega,Unknown,00:03:43,track
18,The Ballad of Miss Amelia,Suzanne Vega,Unknown,00:04:18,track
19,Baddest Girls In Town,The Devil's Daughters,The Devil's Daughters,00:03:31,track
20,I'm Comin For You,The Devil's Daughters,The Devil's Daughters,00:02:27,track
21,Just One Day,The Devil's Daughters,The Devil's Daughters,00:04:47,track
22,Call Me,The Hillbilly Moon Explosion,Unknown,00:03:39,track
23,Desperation,The Hillbilly Moon Explosion,With Monsters and Gods,00:02:30,track
24,Down on Your Knees,The Hillbilly Moon Explosion,With Monsters and Gods,00:02:54,track
25,Heartbreak Boogie,The Hillbilly Moon Explosion,With Monsters and Gods,00:02:29,track
26,In Space,The Hillbilly Moon Explosion,With Monsters and Gods,00:03:23,track
27,Love You Better,The Hillbilly Moon Explosion,With Monsters and Gods,00:03:09,track
28,Midnight Blues,The Hillbilly Moon Explosion,With Monsters and Gods,00:03:11,track
29,Rose Outside,The Hillbilly Moon Explosion,With Monsters and Gods,00:04:08,track
30,Temptation,The Hillbilly Moon Explosion,With Monsters and Gods,00:03:50,track
31,With Monsters and Gods,The Hillbilly Moon Explosion,With Monsters and Gods,00:03:17,track
32,Half an Hour,coma.fm,Unknown,00:00:09,track
33,coma.fm liner,coma.fm,Unknown,00:00:17,track
34,"Больше кларнета, православные",Coma.fm,Unknown,00:00:11,track
35,Великий электрик,Coma.fm,Unknown,00:00:12,track
36,Восьмидесятые,Coma.fm,Unknown,00:00:17,track
37,Купил зеркалку - и фотограф,Coma.fm,Unknown,00:00:10,track
38,Молоко за вредность,Coma.fm,Unknown,00:00:10,track
39,Неловкое молчание,Coma.fm,Unknown,00:00:12,track
40,Непреодолимое желание,Coma.fm,Unknown,00:00:15,track
41,Ничего не хочется делать,Coma.fm,Unknown,00:00:16,track
42,Приходит девочка,Coma.fm,Unknown,00:00:14,track
43,"Рок, Рок, Чок, Чок",Coma.fm,Unknown,00:00:18,track
44,Унтер-офицерская вдова,Coma.fm,Unknown,00:00:10,track
45,Фантомас,Coma.fm,Unknown,00:00:20,track
46,Школа Жизни,Coma.fm,Unknown,00:00:16,track
47,Это наш сферический дом,Coma.fm,Unknown,00:00:10,track
48,Это не Карл Маркс!,Coma.fm,Unknown,00:00:14,track
49,Я ворую твои таблетки,Coma.fm,Unknown,00:00:35,track
50,Лолита,Coma.fm,Unknown,00:00:27,track
51,Boom Boom,coma.fm,Unknown,00:00:13,track
52,I want you,coma.fm,Unknown,00:00:23,track
53,Daddy O,coma.fm,Unknown,00:00:18,track
54,I`m your slave,coma.fm,Unknown,00:00:13,track
55,Latest trick,coma.fm,Unknown,00:00:23,track
56,Not alone,coma.fm,Unknown,00:00:21,track
57,Fuzz,coma.fm,Unknown,00:00:19,track
58,Recover Program,coma.fm,Unknown,00:00:24,track
59,"Музыка народная, слова МВД",coma.fm,Unknown,00:00:31,track
60,Times,coma.fm,Unknown,00:00:21,track
61,Riff,coma.fm,Unknown,00:00:16,track
62,These days,coma.fm,Unknown,00:00:21,track
63,Surfin` Safari,coma.fm,Unknown,00:00:20,track
64,Valentine`s day,coma.fm,Unknown,00:00:26,track
65,We know who you are,coma.fm,Unknown,00:00:24,track
66,Where are we now,coma.fm,Unknown,00:00:21,track
